"Data Source","World Development Indicators",

"Last Updated Date","2019-09-19",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018",
"Burundi","BDI","GDP per capita (current US$)","NY.GDP.PCAP.CD","70.0517346382971","71.1671882088235","73.4353055613742","78.5143294134077","86.1616064554289","51.3818646529604","52.1826504510569","54.8063925802522","54.9008114351917","55.7150155029885","69.7693039666795","71.6267707066849","69.1394016775159","84.4186415543161","94.6853216373742","113.753125382792","118.914901523597","142.053020747619","154.51619504879","193.150202300501","221.231835357164","227.128120029126","231.343852311749","240.782292084297","213.616517780925","242.058249056633","245.915428142175","225.071699645207","209.415063423685","209.894412605431","208.146755438253","209.777897917403","190.489013951092","161.887552946887","156.812301230653","167.098915756122","143.402300109205","158.914669880487","144.493064021934","128.939083280584","136.46397080034","134.363447507999","123.117627963477","113.567366369381","128.336612834582","151.681463366485","167.376484505492","172.495859926837","198.352900555063","212.136880390025","234.235646874999","249.577979366801","252.358979858344","256.976002796754","274.857947913846","305.549772797441","282.149681511209","293.009061990821","275.429603285318",
"Belgium","BEL","GDP per capita (current US$)","NY.GDP.PCAP.CD","1273.69165910289","1350.19767333123","1438.5232330684","1535.02372901043","1701.84627554319","1835.59476553194","1957.62608042762","2086.63600544654","2222.36151051913","2458.08182003773","2780.69618678327","3099.43015794539","3852.14172933289","4927.1959234948","5764.48988319245","6737.24825069324","7281.8177353643","8472.0544682791","10344.8471326448","11873.8354044821","12932.8605964577","10679.6638923607","9393.87669193076","8893.58613003995","8502.53859675867","8797.65967886135","12235.1841374482","15216.8710172156","16478.831592157","16613.516652258","20710.6443430806","21154.2918385501","23497.7274067423","22403.2168180008","24338.1377018161","28565.9191516066","27701.903287059","25027.7445890682","25541.6747233656","25444.1392583071","23207.4059110078","23121.6011440246","25052.3393900855","30743.9025377208","35589.6891168402","36967.2591839688","38852.3729277437","44403.7668991523","48424.5755963147","44880.5730196227","44380.1766327308","47743.7805335086","44826.4396116648","46680.3898229483","47355.3120057387","40441.0520422361","41449.097361231","43507.2382031326","46556.0995671478",
"Benin","BEN","GDP per capita (current US$)","NY.GDP.PCAP.CD","93.0225089907107","95.5721547147448","94.4645349843821","99.8591138855553","104.339768039886","110.132793835113","112.940836383512","111.951601925238","116.89506602186","116.025094341185","114.556596466987","112.570089087637","134.819407935009","161.987373671434","174.014149085561","207.300439745473","208.656153830514","218.4543657692","263.581057550946","327.821677993792","378.043898303902","337.978194739187","322.77769945337","271.129240225224","252.869785044788","244.410998858469","303.348897858296","344.503070791789","346.736037681422","311.678303860822","393.686214423531","385.753616012638","317.962855286116","411.926030522283","279.666504326806","367.387341032599","387.432924636251","361.100269794441","379.442353954477","403.623703839155","374.192394159235","378.736053976421","418.698576347103","519.292284661195","583.409351430682","601.799976958875","625.830015812664","706.053374882171","820.150878301122","793.452252617998","757.695907409377","825.940340926735","837.942920903364","915.315621163215","943.674649189169","783.963077800944","788.549196450986","827.429810110093","901.954052193336",
"Burkina Faso","BFA","GDP per capita (current US$)","NY.GDP.PCAP.CD","68.424748569325","71.558180092437","76.5206113987061","78.372071942432","80.4727667455189","81.7251154955019","82.5456368946943","84.3631649403545","84.7330493468762","86.5202111123235","81.4998986817012","84.2878150139644","99.3267640249866","113.780584338816","124.359030451525","152.728220114244","155.648997960296","176.783367666295","225.941652537233","262.076009642159","282.685735299595","254.230780675111","245.09470243903","217.994750842831","193.843240284709","200.8944225118","256.762318808596","291.131963880905","313.061891095721","304.853438781463","351.979322852536","346.410672442444","240.963480980403","244.127073499416","193.070236298833","235.832197299769","249.360294415648","229.493117735387","255.7182333817","265.340115553605","226.47598136698","235.491232436187","260.763541319743","332.344305065633","371.323086483012","406.998807060623","420.582553705127","475.110012184526","569.761317206588","552.745588612739","575.446452687734","666.840119798738","673.821598361542","699.779405632453","703.820055595173","575.314454176311","583.83262029989","642.040426480339","731.171716967411",
"Bangladesh","BGD","GDP per capita (current US$)","NY.GDP.PCAP.CD","89.0352412832723","97.5952739108149","100.12211579079","101.901414464052","100.221113507985","106.64664823646","112.665358839312","122.870630560939","122.847593497904","135.147381311241","140.002714037943","133.551423017287","94.3816784627895","119.559743375323","182.019989366781","277.570640891354","141.197168777034","131.373243400085","176.03394976502","200.769664090984","227.751946526218","247.649619808649","220.718810111852","204.417678191801","213.996657932288","245.453904178514","233.658047126004","253.974463110316","270.69960091549","285.829214029315","306.268703808998","293.160415517259","293.644998454253","300.555753175017","299.533039744954","329.424084643072","394.717475124248","401.498690814147","407.429186160797","409.543196853608","418.068968311378","415.034426620147","413.080254575162","446.310659190362","475.291919786935","499.461940239156","509.640142873216","558.051860266708","634.987056467494","702.264410019296","781.153593557047","861.758444349051","883.105000541313","981.839879150399","1118.8536634927","1248.45339778371","1401.62062821515","1563.99408178663","1698.26280233547",
"Bulgaria","BGR","GDP per capita (current US$)","NY.GDP.PCAP.CD","","","","","","","","","","","","","","","","","","","","","2238.80295786574","2234.81481573125","2169.00401089683","1852.81343442802","1963.57267618274","1914.55064658793","2260.4272811545","3132.30136036246","2511.39306259489","2477.0208179596","2366.52982128614","1267.73437541485","1211.98087810931","1278.24717346108","1148.4943993817","2244.51690949043","1457.03561893337","1348.82756797792","1809.68384472884","1648.10485895626","1609.88245178581","1757.44377980694","2076.83068237844","2698.62424839705","3363.79964421813","3869.52945510511","4490.20177692701","5885.94925197955","7261.75449200277","6969.55855668357","6843.26694975885","7813.80669236432","7378.02473005713","7646.83986554542","7864.76067225524","6993.78348267387","7469.45563823624","8228.0115697265","9272.62930360848",
"Bahrain","BHR","GDP per capita (current US$)","NY.GDP.PCAP.CD","","","","","","","","","","","","","","","","","","","","","8537.92937933215","9269.26961652991","9446.15800194601","9421.2856547764","9590.73020168943","8706.76660148502","7041.60195861695","7555.10046448055","7958.74792458539","8030.90465921389","8528.98333446095","9055.67993615686","9082.75853260694","9698.18906295446","10130.5052329617","10376.9717049211","10544.7035702291","10672.166005162","10076.2206220379","10401.5458114095","13636.4082371396","12868.2847884595","13102.3702137963","14222.047384216","15846.5527922346","17959.2593286527","19307.9149092456","20976.5435328438","23066.509898321","19355.9046720264","20722.1372891348","22514.2379458146","23654.3513912828","24744.3576319157","24989.4001204704","22688.9443998144","22619.1166718849","23715.4827473156","24050.7575053956",
"Bahamas, The","BHS","GDP per capita (current US$)","NY.GDP.PCAP.CD","1550.23939204838","1651.28898476982","1752.85448101663","1867.02501228387","1994.38083200582","2144.7544025214","2322.68994821768","2556.65101842073","2804.33387615547","3215.09517923126","3178.84455205025","3297.50588018794","3322.16387617645","3696.07254416942","3416.1624891962","3156.23411824496","3328.51240740453","3617.43471621149","4131.46844816804","5533.43997592046","6340.72681168711","6624.838616795","7168.09577444319","7698.45924188303","8877.31979836728","9893.08417669176","10344.4524866432","11156.2820886994","11387.709081798","12163.6813608069","12356.4238963715","11919.7878992215","11686.6958113589","11406.6898096057","11814.5631983063","12238.3862033521","12708.730958032","22036.4841069328","23514.4203140432","26130.1018152634","27097.6108115725","27486.2367737544","28866.8010141065","28327.2708691945","28395.9246646221","30278.3669222647","30713.7052801382","31472.09897181","30627.2386311725","28552.1904783698","28443.4076553352","28006.3797183913","29485.6209294138","28944.7882168381","29563.746347465","31512.8565549457","31325.2948289503","31857.890145929","",
"Bosnia and Herzegovina","BIH","GDP per capita (current US$)","NY.GDP.PCAP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","319.013035138564","487.476777199738","740.098506846976","982.801849065598","1102.39098330014","1251.74726073687","1467.77647716048","1530.81481604112","1769.19982792241","2224.7458643849","2814.9998948741","2980.60210893151","3416.51059575812","4193.3736517833","5090.93234464687","4714.7024950516","4635.51777931783","5092.55194328895","4778.63608845506","5131.39450642932","5329.63504488766","4727.27754622207","4994.68314045091","5394.59122017677","5951.32329883943",
"Belarus","BLR","GDP per capita (current US$)","NY.GDP.PCAP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2124.84051428011","1765.74455562095","1667.68177731373","1590.09588197453","1460.0590758956","1370.67655885011","1452.44548758328","1396.5017856782","1511.77005267883","1210.6117195862","1276.2880341","1244.37318523431","1479.31458271677","1819.76605926177","2378.62328600741","3125.81053502853","3847.43412382153","4735.65760793999","6377.36973201232","5351.35538243278","6181.39991568753","6519.23019498892","6940.15925359735","7978.87261471076","8318.51268992675","5949.10630699748","5022.62664330491","5761.74712023007","6289.93855308212",
"Belize","BLZ","GDP per capita (current US$)","NY.GDP.PCAP.CD","304.917107253962","316.403606143266","327.126867468401","336.94146611457","351.161126269562","377.594305166182","406.097967073577","420.431888198165","386.95323701087","396.654306282497","435.690469415558","474.444216207405","519.563507668109","605.933440702651","786.069092043881","885.984529060044","717.040182885396","858.828081086803","980.822509264923","1074.27196489862","1373.09300703606","1328.8281491424","1202.68202630831","1232.83737826059","1336.98758953632","1289.36728897294","1366.04972952188","1612.451575183","1787.95138342857","2011.96872880293","2197.18502331181","2326.82155414173","2666.88159980239","2832.97532663367","2880.12544625149","2996.38292834951","3001.83372023364","2952.94859644372","2992.4447542607","3065.97967261955","3364.42371065241","3418.21667588008","3554.23034705654","3675.88030064025","3825.7873303822","3926.01374207188","4178.92537303186","4315.8349636318","4460.63414411566","4243.43328407303","4331.43451672125","4501.60263689411","4626.70961538462","4652.50900308057","4790.94126203427","4883.179011063","4904.03433767644","4956.8080389814","5025.17810014332",
"Bermuda","BMU","GDP per capita (current US$)","NY.GDP.PCAP.CD","1902.4021189224","1961.5381692465","2020.38596503345","2020.26524752445","2199.72700691179","2282.21654616239","2630.85046632946","2982.74970426108","2830.18867924528","3053.7037037037","3387.27272727273","3866.30036630037","4343.17343173432","5009.2936802974","5853.93258426966","6509.43396226415","7261.27819548872","8370.78651685393","8876.86567164179","9613.38289962825","11218.2178159868","13425.9769663942","14166.1712925391","15902.0203826211","17469.8255675877","18269.5355197019","20450.6645289464","22411.7956749468","24253.1755188784","25517.9217212488","26841.5197383946","27700.3095169516","28669.6822595785","30900.6948905109","31476.0631153068","33989.7223579821","44826.7890701658","48478.8832504091","51371.7408069836","54245.459737293","56284.1686478094","58883.9594265967","62583.1002034588","66111.7252270036","70359.3191088798","75882.0338560339","83912.6977976846","90849.5869806436","93605.7481653976","88463.3128161375","88207.3275597322","85973.158416455","85458.455507886","85748.0654143782","","","","","",
"Bolivia","BOL","GDP per capita (current US$)","NY.GDP.PCAP.CD","102.237890155986","109.061011508637","116.925152681732","123.429309527166","136.312430833969","149.640073856538","162.326054493388","179.583337089403","199.629799698863","211.797112677127","226.806971403988","239.128125040464","268.584130108623","263.892360103188","429.297647353188","480.803078321255","534.273494872353","617.306947304581","703.136348152004","809.411289427148","811.284863105057","1030.83341637842","960.983612911291","913.975158799769","1019.05776244986","870.185648376456","627.398529309648","671.075125540651","698.692639903084","701.666147390148","709.05967248876","762.078033122078","788.151989829071","784.191739325258","801.046029656507","880.992224046171","950.856508392184","998.515324227691","1049.49937364874","1003.39223063895","997.582459886835","948.871206629035","904.226627282534","907.537110090057","967.406991954858","1034.31124023689","1218.87445946804","1372.6282248299","1715.20892185853","1754.21106094735","1955.46155736098","2346.33717022581","2609.88081915425","2908.20008548078","3081.87883446506","3035.97221489277","3076.6589493424","3351.12405268555","3548.59013979338",
"Brazil","BRA","GDP per capita (current US$)","NY.GDP.PCAP.CD","210.109899384623","205.04076826426","260.425653075282","292.252136324528","261.66661956418","261.354354519834","315.797202907062","347.493056109702","374.786775401462","403.884267342212","445.02310059739","504.749516124995","586.214404973525","775.273300345189","1004.10491009099","1153.8309583695","1390.62497537665","1567.00618230231","1744.25712944487","1908.48762658653","1947.27643012721","2132.8833173447","2226.76726079559","1570.5397473792","1578.92641703719","1648.08210438614","1941.49110905835","2087.3076054076","2300.37684355265","2908.49615806386","3100.28046842987","3975.39008935633","2596.91987612034","2791.20912422419","3500.61148991066","4748.21552893015","5166.16374470632","5282.00882754111","5087.152221014","3478.37272997644","3749.75324996168","3156.79871788773","2829.28319217077","3070.91049061377","3637.46238925733","4790.43708777366","5886.46358837728","7348.03079355548","8831.02311697566","8597.91535151623","11286.2430162457","13245.615526158","12370.0242007149","12300.3225752233","12112.5903019529","8814.00098681261","8712.88704442864","9880.94654326324","8920.76210462979",
"Barbados","BRB","GDP per capita (current US$)","NY.GDP.PCAP.CD","","","","","","","","","","","","","","","1274.54316261324","1633.84956173596","1760.66720489565","1988.84725022412","2209.74051891919","2667.03713987762","3408.91147674498","3738.48089603109","3894.05717223353","4123.09289508172","4481.19210426849","4676.17033544252","5117.00095787431","5614.76000448408","5949.92585900328","6554.82466355547","7754.07859351295","7663.50329113049","7421.08746757149","7754.41700193794","8121.37422363163","8505.08495885839","9031.57442272102","9505.66759356986","10672.3917520389","11137.254948879","11496.6023976576","11437.247706422","11592.2099295968","11937.6733775868","12766.2704697694","14104.1462346602","15051.6979785712","16764.4420523861","17081.8657884021","15936.9841766748","16056.0165313276","16470.3678967585","16412.9362002115","16224.2873624673","16179.5839550601","16066.4718004795","15847.1427171829","16327.6072290756","",
"Brunei Darussalam","BRN","GDP per capita (current US$)","NY.GDP.PCAP.CD","","","","","","1113.82655495184","1237.5635792503","1236.3976733859","1364.05440765995","1304.29846027765","1382.54830429835","1455.8983072424","1906.87749660983","2916.20881530969","6923.08789234416","7228.442859782","8461.48706837051","9917.47175922488","10714.9400049998","14945.2037564138","25422.1703122437","21828.7772262731","20693.7244871696","18128.9874500249","17337.1059400151","15698.9452528874","10214.1169569813","11594.66515323","11009.3024303312","11872.6307346962","13607.5220957631","13905.0638689698","15274.4446317273","14575.7298211504","14120.8549888131","15933.3455733721","16793.2809740578","16660.3612477895","12693.7909769053","14101.345758867","18012.5562597047","16472.1486214944","16850.1511253805","18560.6085730701","21902.0880525832","26105.2790303114","30979.8791725798","32663.5665921613","37934.3765067984","27955.7138629359","35269.5531076448","47055.8411171808","47741.9064650052","44740.085018517","41726.7839720342","31164.5620291141","27157.3462343457","28572.1094155048","31627.7420793167",
"Bhutan","BTN","GDP per capita (current US$)","NY.GDP.PCAP.CD","","","","","","","","","","","","","","","","","","","","","333.402875982536","350.126257675267","347.219698224097","376.483988054393","374.914704651373","370.945755280418","420.679112278024","512.191599038064","557.082531956928","528.458419611417","564.77960950252","467.697107411527","469.198975461728","441.684823676736","509.12406949028","566.857698632761","584.379158121735","663.328856585089","667.913623786184","725.124741074687","743.05013392049","789.147003481556","871.809157715103","990.741428569388","1099.97733142799","1262.24744485027","1365.55806107288","1798.96974025707","1873.59735038455","1864.53680321311","2312.86009558743","2625.43325640946","2599.39609371453","2532.0156424178","2749.35266478192","2829.89124506544","3012.96140117114","3390.71407484432","3360.26686689029",
"Botswana","BWA","GDP per capita (current US$)","NY.GDP.PCAP.CD","60.4925140705551","64.1765151013703","68.0502190365472","71.1073682596974","75.9555025537058","81.7702863732693","89.978451697036","100.406174908481","110.978456420462","126.544927333256","153.326134410035","196.423120099821","247.729089654739","353.855401888446","428.191842893297","479.085476988897","483.143202081117","564.131125063148","709.189337954404","947.752854507987","1181.60334161615","1154.18354005928","1054.03843130225","1176.81244631694","1202.97600222274","1042.24267718428","1253.5609585418","1701.67518600081","2203.65763254255","2477.97535757592","2945.83203953801","2972.72671142946","3040.96040371719","2973.38040121706","2970.12256750351","3219.91205059617","3221.6762095454","3258.98031222073","3039.9707309768","3405.81259792087","3522.30867806396","3278.0082497438","3190.6154528255","4330.94490040766","5073.5376499682","5520.12471972503","5516.03920965133","5832.733941653","5713.53498332841","5255.76846136181","6434.81565688465","7617.32509421648","7877.79035044357","7224.96517150786","7780.63838460394","6799.87523352768","7243.85601689195","7893.67593323318","8258.64166574691",
